id,no_serie,hora_partida,hora_chegada,partida,chegada
341,A320-002,2025-03-10 09:00:00,2025-03-10 11:00:00,LGW,MAD
342,B737-003,2025-03-10 09:00:00,2025-03-10 11:00:00,MAD,FCO
343,A320-003,2025-03-10 16:00:00,2025-03-10 18:00:00,ORY,OPO
344,B737-001,2025-03-10 20:00:00,2025-03-10 23:00:00,LGW,BCN
345,A320-001,2025-03-10 06:00:00,2025-03-10 08:00:00,ORY,MAD
346,A330-001,2025-03-11 16:00:00,2025-03-11 17:00:00,CDG,OPO
347,B737-002,2025-03-11 06:00:00,2025-03-11 08:00:00,MAD,LIS
348,A320-002,2025-03-11 08:00:00,2025-03-11 11:00:00,MAD,ORY
349,A320-003,2025-03-11 07:00:00,2025-03-11 10:00:00,OPO,LHR
350,A330-003,2025-03-11 15:00:00,2025-03-11 16:00:00,FCO,ORY
351,B737-002,2025-03-12 10:00:00,2025-03-12 11:00:00,LIS,OPO
352,A330-002,2025-03-12 14:00:00,2025-03-12 16:00:00,CDG,ORY
353,B737-001,2025-03-12 07:00:00,2025-03-12 10:00:00,BCN,CDG
354,A320-003,2025-03-12 08:00:00,2025-03-12 09:00:00,LHR,LIS
355,A330-001,2025-03-12 18:00:00,2025-03-12 19:00:00,OPO,MAD
356,B737-004,2025-03-13 08:00:00,2025-03-13 11:00:00,BCN,LIS
357,A330-002,2025-03-13 14:00:00,2025-03-13 15:00:00,ORY,FRA
358,A320-001,2025-03-13 13:00:00,2025-03-13 15:00:00,MAD,OPO
359,A320-002,2025-03-13 14:00:00,2025-03-13 17:00:00,ORY,MAD
360,B737-001,2025-03-13 13:00:00,2025-03-13 16:00:00,CDG,OPO
361,B737-002,2025-03-14 06:00:00,2025-03-14 08:00:00,OPO,LIS
362,A320-001,2025-03-14 12:00:00,2025-03-14 15:00:00,OPO,FRA
363,A330-001,2025-03-14 13:00:00,2025-03-14 16:00:00,MAD,OPO
364,B737-004,2025-03-14 07:00:00,2025-03-14 08:00:00,LIS,FCO
365,A330-002,2025-03-14 15:00:00,2025-03-14 16:00:00,FRA,LGW
366,A320-002,2025-03-15 17:00:00,2025-03-15 19:00:00,MAD,BCN
367,B737-001,2025-03-15 15:00:00,2025-03-15 18:00:00,OPO,FRA
368,A330-001,2025-03-15 13:00:00,2025-03-15 16:00:00,OPO,LGW
369,B737-003,2025-03-15 07:00:00,2025-03-15 10:00:00,FCO,MAD
370,A330-002,2025-03-15 19:00:00,2025-03-15 22:00:00,LGW,OPO
371,A330-003,2025-03-16 11:00:00,2025-03-16 13:00:00,ORY,FRA
372,B737-002,2025-03-16 12:00:00,2025-03-16 15:00:00,LIS,FRA
373,A320-003,2025-03-16 11:00:00,2025-03-16 13:00:00,LIS,CDG
374,B737-004,2025-03-16 16:00:00,2025-03-16 18:00:00,FCO,LGW
375,A320-002,2025-03-16 08:00:00,2025-03-16 11:00:00,BCN,LGW
376,B737-003,2025-03-17 12:00:00,2025-03-17 13:00:00,MAD,OPO
377,A320-002,2025-03-17 18:00:00,2025-03-17 19:00:00,LGW,MAD
378,A330-003,2025-03-17 06:00:00,2025-03-17 09:00:00,FRA,BCN
379,A320-003,2025-03-17 14:00:00,2025-03-17 16:00:00,CDG,BCN
380,A320-001,2025-03-17 12:00:00,2025-03-17 14:00:00,FRA,OPO
381,A320-003,2025-03-18 07:00:00,2025-03-18 10:00:00,BCN,LGW
382,A320-001,2025-03-18 09:00:00,2025-03-18 10:00:00,OPO,BCN
383,A330-001,2025-03-18 09:00:00,2025-03-18 10:00:00,LGW,FCO
384,B737-003,2025-03-18 19:00:00,2025-03-18 22:00:00,OPO,MAD
385,B737-001,2025-03-18 07:00:00,2025-03-18 09:00:00,FRA,LGW
386,B737-004,2025-03-19 06:00:00,2025-03-19 09:00:00,LGW,BCN
387,B737-002,2025-03-19 06:00:00,2025-03-19 07:00:00,FRA,LHR
388,A320-003,2025-03-19 17:00:00,2025-03-19 19:00:00,LGW,LHR
389,B737-003,2025-03-19 11:00:00,2025-03-19 12:00:00,MAD,LGW
390,A330-001,2025-03-19 19:00:00,2025-03-19 20:00:00,FCO,CDG
391,B737-004,2025-03-20 07:00:00,2025-03-20 10:00:00,BCN,LIS
392,A320-003,2025-03-20 09:00:00,2025-03-20 11:00:00,LHR,BCN
393,A320-002,2025-03-20 13:00:00,2025-03-20 15:00:00,MAD,FRA
394,B737-003,2025-03-20 11:00:00,2025-03-20 13:00:00,LGW,CDG
395,A330-002,2025-03-20 18:00:00,2025-03-20 21:00:00,OPO,MAD
396,B737-004,2025-03-21 16:00:00,2025-03-21 17:00:00,LIS,OPO
397,A320-002,2025-03-21 13:00:00,2025-03-21 16:00:00,FRA,LHR
398,A320-001,2025-03-21 13:00:00,2025-03-21 16:00:00,BCN,MAD
399,A330-003,2025-03-21 12:00:00,2025-03-21 14:00:00,BCN,FRA
400,A320-003,2025-03-21 18:00:00,2025-03-21 21:00:00,BCN,ORY
401,A320-002,2025-03-22 14:00:00,2025-03-22 17:00:00,LHR,FCO
402,A330-002,2025-03-22 06:00:00,2025-03-22 07:00:00,MAD,LHR
403,A320-003,2025-03-22 15:00:00,2025-03-22 16:00:00,ORY,FRA
404,A320-001,2025-03-22 09:00:00,2025-03-22 11:00:00,MAD,LIS
405,B737-001,2025-03-22 18:00:00,2025-03-22 19:00:00,LGW,ORY
406,A330-001,2025-03-23 17:00:00,2025-03-23 19:00:00,CDG,FCO
407,B737-004,2025-03-23 08:00:00,2025-03-23 10:00:00,OPO,ORY
408,A330-002,2025-03-23 17:00:00,2025-03-23 18:00:00,LHR,BCN
409,A320-001,2025-03-23 14:00:00,2025-03-23 17:00:00,LIS,BCN
410,A320-003,2025-03-23 07:00:00,2025-03-23 09:00:00,FRA,LGW
411,A320-001,2025-03-24 15:00:00,2025-03-24 17:00:00,BCN,LGW
412,A320-003,2025-03-24 17:00:00,2025-03-24 20:00:00,LGW,FRA
413,B737-004,2025-03-24 10:00:00,2025-03-24 11:00:00,ORY,FRA
414,B737-002,2025-03-24 06:00:00,2025-03-24 08:00:00,LHR,FRA
415,B737-003,2025-03-24 18:00:00,2025-03-24 21:00:00,CDG,ORY
416,B737-003,2025-03-25 12:00:00,2025-03-25 15:00:00,ORY,LHR
417,A330-002,2025-03-25 14:00:00,2025-03-25 15:00:00,BCN,MAD
418,A320-002,2025-03-25 19:00:00,2025-03-25 21:00:00,FCO,MAD
419,B737-002,2025-03-25 09:00:00,2025-03-25 11:00:00,FRA,LGW
420,A320-001,2025-03-25 07:00:00,2025-03-25 10:00:00,LGW,CDG
421,A320-002,2025-03-26 17:00:00,2025-03-26 20:00:00,MAD,LGW
422,A330-003,2025-03-26 09:00:00,2025-03-26 10:00:00,FRA,CDG
423,B737-002,2025-03-26 10:00:00,2025-03-26 11:00:00,LGW,CDG
424,A320-003,2025-03-26 15:00:00,2025-03-26 16:00:00,FRA,CDG
425,B737-001,2025-03-26 08:00:00,2025-03-26 11:00:00,ORY,OPO
426,B737-003,2025-03-27 19:00:00,2025-03-27 22:00:00,LHR,MAD
427,B737-004,2025-03-27 08:00:00,2025-03-27 10:00:00,FRA,LGW
428,A330-003,2025-03-27 13:00:00,2025-03-27 15:00:00,CDG,OPO
429,A330-002,2025-03-27 18:00:00,2025-03-27 20:00:00,MAD,LHR
430,A330-001,2025-03-27 11:00:00,2025-03-27 14:00:00,FCO,LIS
431,A320-002,2025-03-28 11:00:00,2025-03-28 13:00:00,LGW,LIS
432,A330-001,2025-03-28 16:00:00,2025-03-28 17:00:00,LIS,CDG
433,B737-003,2025-03-28 12:00:00,2025-03-28 14:00:00,MAD,BCN
434,B737-002,2025-03-28 18:00:00,2025-03-28 21:00:00,CDG,BCN
435,A320-001,2025-03-28 13:00:00,2025-03-28 16:00:00,CDG,LIS
436,B737-002,2025-03-29 13:00:00,2025-03-29 14:00:00,BCN,LIS
437,A330-002,2025-03-29 17:00:00,2025-03-29 18:00:00,LHR,MAD
438,B737-003,2025-03-29 16:00:00,2025-03-29 17:00:00,BCN,FCO
439,A330-001,2025-03-29 09:00:00,2025-03-29 12:00:00,CDG,LIS
440,A320-002,2025-03-29 13:00:00,2025-03-29 16:00:00,LIS,FCO
441,A330-003,2025-03-30 12:00:00,2025-03-30 14:00:00,OPO,FRA
442,B737-001,2025-03-30 18:00:00,2025-03-30 21:00:00,OPO,LIS
443,A330-002,2025-03-30 07:00:00,2025-03-30 09:00:00,MAD,LGW
444,B737-004,2025-03-30 14:00:00,2025-03-30 17:00:00,LGW,OPO
445,A320-003,2025-03-30 10:00:00,2025-03-30 12:00:00,CDG,FRA
446,B737-004,2025-03-31 20:00:00,2025-03-31 22:00:00,OPO,ORY
447,B737-001,2025-03-31 16:00:00,2025-03-31 19:00:00,LIS,LGW
448,A330-002,2025-03-31 08:00:00,2025-03-31 11:00:00,LGW,FRA
449,A320-001,2025-03-31 10:00:00,2025-03-31 13:00:00,LIS,CDG
450,A330-001,2025-03-31 16:00:00,2025-03-31 18:00:00,LIS,FRA
451,B737-001,2025-04-01 14:00:00,2025-04-01 16:00:00,LGW,FRA
452,A330-003,2025-04-01 11:00:00,2025-04-01 13:00:00,FRA,LIS
453,A320-002,2025-04-01 09:00:00,2025-04-01 11:00:00,FCO,CDG
454,A330-002,2025-04-01 09:00:00,2025-04-01 10:00:00,FRA,FCO
455,A320-003,2025-04-01 08:00:00,2025-04-01 09:00:00,FRA,CDG
456,A330-001,2025-04-02 15:00:00,2025-04-02 17:00:00,FRA,CDG
457,A320-002,2025-04-02 08:00:00,2025-04-02 09:00:00,CDG,ORY
458,A320-001,2025-04-02 17:00:00,2025-04-02 19:00:00,CDG,ORY
459,A330-002,2025-04-02 12:00:00,2025-04-02 14:00:00,FCO,LIS
460,B737-001,2025-04-02 13:00:00,2025-04-02 16:00:00,FRA,ORY
461,A330-001,2025-04-03 18:00:00,2025-04-03 20:00:00,CDG,LGW
462,B737-003,2025-04-03 11:00:00,2025-04-03 14:00:00,FCO,ORY
463,B737-002,2025-04-03 13:00:00,2025-04-03 15:00:00,LIS,FCO
464,B737-004,2025-04-03 14:00:00,2025-04-03 17:00:00,ORY,FRA
465,A320-002,2025-04-03 08:00:00,2025-04-03 09:00:00,ORY,FRA
466,B737-004,2025-04-04 19:00:00,2025-04-04 21:00:00,FRA,FCO
467,B737-001,2025-04-04 20:00:00,2025-04-04 21:00:00,ORY,BCN
468,A330-001,2025-04-04 19:00:00,2025-04-04 20:00:00,LGW,BCN
469,A320-001,2025-04-04 07:00:00,2025-04-04 08:00:00,ORY,LGW
470,A330-002,2025-04-04 13:00:00,2025-04-04 16:00:00,LIS,LGW
471,B737-001,2025-04-05 20:00:00,2025-04-05 21:00:00,BCN,LGW
472,A320-003,2025-04-05 06:00:00,2025-04-05 08:00:00,CDG,FRA
473,A320-002,2025-04-05 11:00:00,2025-04-05 12:00:00,FRA,BCN
474,B737-003,2025-04-05 07:00:00,2025-04-05 09:00:00,ORY,FRA
475,B737-002,2025-04-05 06:00:00,2025-04-05 08:00:00,FCO,ORY
476,A320-002,2025-04-06 20:00:00,2025-04-06 22:00:00,BCN,LHR
477,A330-002,2025-04-06 18:00:00,2025-04-06 21:00:00,LGW,CDG
478,B737-001,2025-04-06 13:00:00,2025-04-06 16:00:00,LGW,FCO
479,B737-004,2025-04-06 20:00:00,2025-04-06 21:00:00,FCO,LIS
480,A320-001,2025-04-06 10:00:00,2025-04-06 11:00:00,LGW,LIS
481,B737-001,2025-04-07 10:00:00,2025-04-07 11:00:00,FCO,ORY
482,A330-003,2025-04-07 09:00:00,2025-04-07 11:00:00,LIS,OPO
483,A320-003,2025-04-07 07:00:00,2025-04-07 08:00:00,FRA,FCO
484,A320-001,2025-04-07 15:00:00,2025-04-07 18:00:00,LIS,FCO
485,B737-004,2025-04-07 16:00:00,2025-04-07 19:00:00,LIS,OPO
486,B737-004,2025-04-08 15:00:00,2025-04-08 17:00:00,OPO,LIS
487,B737-002,2025-04-08 15:00:00,2025-04-08 17:00:00,ORY,LHR
488,B737-001,2025-04-08 16:00:00,2025-04-08 19:00:00,ORY,CDG
489,B737-003,2025-04-08 14:00:00,2025-04-08 16:00:00,FRA,OPO
490,A330-003,2025-04-08 14:00:00,2025-04-08 17:00:00,OPO,CDG
491,A330-003,2025-04-09 16:00:00,2025-04-09 18:00:00,CDG,LIS
492,B737-004,2025-04-09 10:00:00,2025-04-09 13:00:00,LIS,MAD
493,A320-001,2025-04-09 11:00:00,2025-04-09 12:00:00,FCO,LIS
494,B737-002,2025-04-09 09:00:00,2025-04-09 12:00:00,LHR,MAD
495,A320-003,2025-04-09 18:00:00,2025-04-09 21:00:00,FCO,OPO
496,A330-002,2025-04-10 19:00:00,2025-04-10 22:00:00,CDG,MAD
497,B737-001,2025-04-10 19:00:00,2025-04-10 22:00:00,CDG,ORY
498,A320-001,2025-04-10 17:00:00,2025-04-10 19:00:00,LIS,FCO
499,A330-003,2025-04-10 18:00:00,2025-04-10 19:00:00,LIS,ORY
500,A330-001,2025-04-10 17:00:00,2025-04-10 19:00:00,BCN,OPO
501,A320-001,2025-04-11 11:00:00,2025-04-11 13:00:00,FCO,LIS
502,A330-001,2025-04-11 12:00:00,2025-04-11 15:00:00,OPO,BCN
503,B737-002,2025-04-11 10:00:00,2025-04-11 11:00:00,MAD,FCO
504,B737-004,2025-04-11 10:00:00,2025-04-11 12:00:00,MAD,ORY
505,A320-002,2025-04-11 19:00:00,2025-04-11 22:00:00,LHR,LIS
506,A330-002,2025-04-12 20:00:00,2025-04-12 22:00:00,MAD,FRA
507,A330-001,2025-04-12 20:00:00,2025-04-12 22:00:00,BCN,FRA
508,A320-002,2025-04-12 08:00:00,2025-04-12 10:00:00,LIS,MAD
509,A320-003,2025-04-12 11:00:00,2025-04-12 14:00:00,OPO,FCO
510,B737-001,2025-04-12 18:00:00,2025-04-12 19:00:00,ORY,LGW
511,A320-003,2025-04-13 10:00:00,2025-04-13 12:00:00,FCO,BCN
512,A320-002,2025-04-13 07:00:00,2025-04-13 09:00:00,MAD,OPO
513,B737-004,2025-04-13 10:00:00,2025-04-13 12:00:00,ORY,LGW
514,A330-001,2025-04-13 08:00:00,2025-04-13 11:00:00,FRA,MAD
515,A330-003,2025-04-13 11:00:00,2025-04-13 13:00:00,ORY,FCO
516,A320-001,2025-04-14 07:00:00,2025-04-14 10:00:00,LIS,OPO
517,A330-002,2025-04-14 11:00:00,2025-04-14 14:00:00,FRA,MAD
518,A320-003,2025-04-14 06:00:00,2025-04-14 07:00:00,BCN,CDG
519,B737-001,2025-04-14 06:00:00,2025-04-14 07:00:00,LGW,FCO
520,A330-003,2025-04-14 09:00:00,2025-04-14 12:00:00,FCO,OPO
521,A330-002,2025-04-15 16:00:00,2025-04-15 18:00:00,MAD,CDG
522,B737-004,2025-04-15 11:00:00,2025-04-15 13:00:00,LGW,MAD
523,A320-003,2025-04-15 15:00:00,2025-04-15 16:00:00,CDG,OPO
524,A330-001,2025-04-15 11:00:00,2025-04-15 13:00:00,MAD,BCN
525,A320-001,2025-04-15 16:00:00,2025-04-15 18:00:00,OPO,MAD
526,B737-002,2025-04-16 14:00:00,2025-04-16 16:00:00,FCO,FRA
527,A320-002,2025-04-16 07:00:00,2025-04-16 09:00:00,OPO,BCN
528,A320-001,2025-04-16 17:00:00,2025-04-16 19:00:00,MAD,LHR
529,A330-002,2025-04-16 15:00:00,2025-04-16 17:00:00,CDG,LHR
530,A330-003,2025-04-16 09:00:00,2025-04-16 10:00:00,OPO,FCO
531,B737-001,2025-04-17 07:00:00,2025-04-17 10:00:00,FCO,FRA
532,A320-002,2025-04-17 16:00:00,2025-04-17 18:00:00,BCN,LGW
533,B737-003,2025-04-17 14:00:00,2025-04-17 17:00:00,OPO,CDG
534,A330-003,2025-04-17 20:00:00,2025-04-17 22:00:00,FCO,LHR
535,A330-002,2025-04-17 17:00:00,2025-04-17 20:00:00,LHR,CDG
536,B737-001,2025-04-18 09:00:00,2025-04-18 11:00:00,FRA,CDG
537,A330-002,2025-04-18 11:00:00,2025-04-18 14:00:00,CDG,LIS
538,B737-002,2025-04-18 13:00:00,2025-04-18 16:00:00,FRA,LGW
539,A320-001,2025-04-18 15:00:00,2025-04-18 16:00:00,LHR,CDG
540,A320-002,2025-04-18 10:00:00,2025-04-18 12:00:00,LGW,OPO
541,B737-003,2025-04-19 08:00:00,2025-04-19 10:00:00,CDG,OPO
542,A330-003,2025-04-19 13:00:00,2025-04-19 15:00:00,LHR,OPO
543,A320-003,2025-04-19 11:00:00,2025-04-19 12:00:00,OPO,BCN
544,B737-004,2025-04-19 16:00:00,2025-04-19 19:00:00,MAD,BCN
545,B737-002,2025-04-19 18:00:00,2025-04-19 19:00:00,LGW,CDG
546,A320-003,2025-04-20 08:00:00,2025-04-20 10:00:00,BCN,FCO
547,A330-003,2025-04-20 08:00:00,2025-04-20 10:00:00,OPO,ORY
548,A320-001,2025-04-20 11:00:00,2025-04-20 14:00:00,CDG,LHR
549,B737-004,2025-04-20 19:00:00,2025-04-20 20:00:00,BCN,LHR
550,B737-003,2025-04-20 09:00:00,2025-04-20 12:00:00,OPO,LGW
551,A330-003,2025-04-21 07:00:00,2025-04-21 10:00:00,ORY,BCN
552,A330-001,2025-04-21 15:00:00,2025-04-21 18:00:00,BCN,CDG
553,B737-001,2025-04-21 08:00:00,2025-04-21 11:00:00,CDG,ORY
554,A330-002,2025-04-21 19:00:00,2025-04-21 22:00:00,LIS,MAD
555,B737-003,2025-04-21 19:00:00,2025-04-21 20:00:00,LGW,LIS
556,A320-002,2025-04-22 15:00:00,2025-04-22 18:00:00,OPO,FRA
557,A320-001,2025-04-22 13:00:00,2025-04-22 16:00:00,LHR,LIS
558,A330-001,2025-04-22 10:00:00,2025-04-22 13:00:00,CDG,BCN
559,A330-002,2025-04-22 13:00:00,2025-04-22 14:00:00,MAD,LHR
560,B737-004,2025-04-22 10:00:00,2025-04-22 12:00:00,LHR,FRA
561,A320-002,2025-04-23 13:00:00,2025-04-23 14:00:00,FRA,FCO
562,A320-001,2025-04-23 15:00:00,2025-04-23 16:00:00,LIS,MAD
563,B737-001,2025-04-23 19:00:00,2025-04-23 22:00:00,ORY,MAD
564,B737-002,2025-04-23 17:00:00,2025-04-23 19:00:00,CDG,MAD
565,A320-003,2025-04-23 08:00:00,2025-04-23 10:00:00,FCO,MAD
566,A330-003,2025-04-24 07:00:00,2025-04-24 09:00:00,BCN,FRA
567,B737-004,2025-04-24 09:00:00,2025-04-24 10:00:00,FRA,FCO
568,A320-002,2025-04-24 06:00:00,2025-04-24 08:00:00,FCO,OPO
569,B737-001,2025-04-24 19:00:00,2025-04-24 22:00:00,MAD,FRA
570,B737-003,2025-04-24 09:00:00,2025-04-24 10:00:00,LIS,FRA
571,A330-002,2025-04-25 14:00:00,2025-04-25 16:00:00,LHR,FCO
572,B737-004,2025-04-25 20:00:00,2025-04-25 22:00:00,FCO,FRA
573,B737-002,2025-04-25 06:00:00,2025-04-25 07:00:00,MAD,FCO
574,A320-003,2025-04-25 14:00:00,2025-04-25 16:00:00,MAD,FRA
575,A320-002,2025-04-25 09:00:00,2025-04-25 12:00:00,OPO,LHR
576,A330-002,2025-04-26 10:00:00,2025-04-26 13:00:00,FCO,FRA
577,A320-001,2025-04-26 19:00:00,2025-04-26 20:00:00,MAD,LIS
578,A330-003,2025-04-26 08:00:00,2025-04-26 10:00:00,FRA,MAD
579,B737-001,2025-04-26 18:00:00,2025-04-26 20:00:00,FRA,LGW
580,B737-002,2025-04-26 06:00:00,2025-04-26 08:00:00,FCO,LGW
581,A320-001,2025-04-27 07:00:00,2025-04-27 09:00:00,LIS,LGW
582,A330-003,2025-04-27 13:00:00,2025-04-27 16:00:00,MAD,BCN
583,B737-002,2025-04-27 19:00:00,2025-04-27 22:00:00,LGW,LHR
584,B737-001,2025-04-27 08:00:00,2025-04-27 09:00:00,LGW,OPO
585,A330-001,2025-04-27 11:00:00,2025-04-27 13:00:00,BCN,MAD
586,A330-003,2025-04-28 12:00:00,2025-04-28 15:00:00,BCN,FCO
587,A330-002,2025-04-28 06:00:00,2025-04-28 07:00:00,FRA,LIS
588,B737-001,2025-04-28 17:00:00,2025-04-28 19:00:00,OPO,ORY
589,A320-002,2025-04-28 14:00:00,2025-04-28 16:00:00,LHR,FCO
590,A330-001,2025-04-28 15:00:00,2025-04-28 18:00:00,MAD,CDG
591,B737-001,2025-04-29 15:00:00,2025-04-29 17:00:00,ORY,LGW
592,A330-002,2025-04-29 19:00:00,2025-04-29 22:00:00,LIS,BCN
593,A330-003,2025-04-29 13:00:00,2025-04-29 16:00:00,FCO,BCN
594,A320-002,2025-04-29 13:00:00,2025-04-29 14:00:00,FCO,LHR
595,B737-002,2025-04-29 11:00:00,2025-04-29 14:00:00,LHR,MAD
596,A320-002,2025-04-30 15:00:00,2025-04-30 17:00:00,LHR,LIS
597,A320-003,2025-04-30 16:00:00,2025-04-30 19:00:00,FRA,LHR
598,A330-001,2025-04-30 17:00:00,2025-04-30 18:00:00,CDG,LHR
599,A330-003,2025-04-30 08:00:00,2025-04-30 11:00:00,BCN,FRA
600,A330-002,2025-04-30 08:00:00,2025-04-30 11:00:00,BCN,MAD
601,B737-002,2025-05-01 11:00:00,2025-05-01 13:00:00,MAD,FCO
602,A320-001,2025-05-01 12:00:00,2025-05-01 15:00:00,LGW,CDG
603,A320-002,2025-05-01 12:00:00,2025-05-01 15:00:00,LIS,LHR
604,B737-003,2025-05-01 19:00:00,2025-05-01 22:00:00,FRA,FCO
605,A330-003,2025-05-01 17:00:00,2025-05-01 18:00:00,FRA,LIS
606,A330-003,2025-05-02 12:00:00,2025-05-02 14:00:00,LIS,BCN
607,B737-002,2025-05-02 13:00:00,2025-05-02 16:00:00,FCO,CDG
608,A330-002,2025-05-02 14:00:00,2025-05-02 16:00:00,MAD,LGW
609,B737-003,2025-05-02 15:00:00,2025-05-02 17:00:00,FCO,LHR
610,B737-004,2025-05-02 09:00:00,2025-05-02 11:00:00,FRA,ORY
611,A330-003,2025-05-03 17:00:00,2025-05-03 20:00:00,BCN,ORY
612,A330-001,2025-05-03 11:00:00,2025-05-03 13:00:00,LHR,FCO
613,B737-002,2025-05-03 14:00:00,2025-05-03 17:00:00,CDG,MAD
614,B737-001,2025-05-03 10:00:00,2025-05-03 11:00:00,LGW,LHR
615,A320-003,2025-05-03 12:00:00,2025-05-03 14:00:00,LHR,BCN
616,A330-002,2025-05-04 11:00:00,2025-05-04 13:00:00,LGW,OPO
617,B737-001,2025-05-04 17:00:00,2025-05-04 19:00:00,LHR,LGW
618,A330-001,2025-05-04 09:00:00,2025-05-04 12:00:00,FCO,ORY
619,A320-001,2025-05-04 20:00:00,2025-05-04 23:00:00,CDG,LGW
620,A330-003,2025-05-04 08:00:00,2025-05-04 09:00:00,ORY,LGW
621,B737-004,2025-05-05 09:00:00,2025-05-05 12:00:00,ORY,BCN
622,B737-002,2025-05-05 06:00:00,2025-05-05 07:00:00,MAD,ORY
623,A330-003,2025-05-05 11:00:00,2025-05-05 14:00:00,LGW,FRA
624,A320-001,2025-05-05 07:00:00,2025-05-05 10:00:00,LGW,FCO
625,A330-002,2025-05-05 06:00:00,2025-05-05 09:00:00,OPO,ORY
626,B737-001,2025-05-06 18:00:00,2025-05-06 20:00:00,LGW,ORY
627,A320-003,2025-05-06 10:00:00,2025-05-06 13:00:00,BCN,LGW
628,B737-003,2025-05-06 20:00:00,2025-05-06 21:00:00,LHR,LIS
629,B737-002,2025-05-06 14:00:00,2025-05-06 17:00:00,ORY,LHR
630,A330-002,2025-05-06 20:00:00,2025-05-06 21:00:00,ORY,LIS
631,A320-003,2025-05-07 08:00:00,2025-05-07 11:00:00,LGW,FCO
632,B737-001,2025-05-07 20:00:00,2025-05-07 21:00:00,ORY,LGW
633,A320-001,2025-05-07 10:00:00,2025-05-07 13:00:00,FCO,LIS
634,B737-004,2025-05-07 20:00:00,2025-05-07 22:00:00,BCN,OPO
635,B737-002,2025-05-07 13:00:00,2025-05-07 16:00:00,LHR,LGW
636,A330-003,2025-05-08 10:00:00,2025-05-08 11:00:00,FRA,FCO
637,B737-004,2025-05-08 11:00:00,2025-05-08 12:00:00,OPO,CDG
638,B737-003,2025-05-08 16:00:00,2025-05-08 18:00:00,LIS,FCO
639,A320-002,2025-05-08 06:00:00,2025-05-08 09:00:00,LHR,CDG
640,A330-001,2025-05-08 18:00:00,2025-05-08 20:00:00,ORY,MAD
641,B737-004,2025-05-09 19:00:00,2025-05-09 21:00:00,CDG,FRA
642,B737-002,2025-05-09 11:00:00,2025-05-09 12:00:00,LGW,BCN
643,B737-001,2025-05-09 16:00:00,2025-05-09 17:00:00,LGW,FRA
644,A330-001,2025-05-09 08:00:00,2025-05-09 10:00:00,MAD,CDG
645,A330-002,2025-05-09 20:00:00,2025-05-09 21:00:00,LIS,MAD
646,A320-001,2025-05-10 11:00:00,2025-05-10 13:00:00,LIS,LGW
647,A330-001,2025-05-10 10:00:00,2025-05-10 13:00:00,CDG,LIS
648,A320-003,2025-05-10 17:00:00,2025-05-10 18:00:00,FCO,LGW
649,A320-002,2025-05-10 16:00:00,2025-05-10 17:00:00,CDG,LIS
650,B737-002,2025-05-10 10:00:00,2025-05-10 11:00:00,BCN,FRA
651,A320-003,2025-05-11 11:00:00,2025-05-11 14:00:00,LGW,LHR
652,A330-003,2025-05-11 09:00:00,2025-05-11 10:00:00,FCO,ORY
653,A330-001,2025-05-11 08:00:00,2025-05-11 10:00:00,LIS,FCO
654,A330-002,2025-05-11 12:00:00,2025-05-11 15:00:00,MAD,LGW
655,A320-001,2025-05-11 20:00:00,2025-05-11 22:00:00,LGW,BCN
656,A330-003,2025-05-12 14:00:00,2025-05-12 16:00:00,ORY,OPO
657,B737-002,2025-05-12 17:00:00,2025-05-12 19:00:00,FRA,BCN
658,B737-004,2025-05-12 20:00:00,2025-05-12 23:00:00,FRA,OPO
659,A330-002,2025-05-12 06:00:00,2025-05-12 09:00:00,LGW,OPO
660,A330-001,2025-05-12 09:00:00,2025-05-12 12:00:00,FCO,BCN
661,A330-003,2025-05-13 07:00:00,2025-05-13 10:00:00,OPO,FCO
662,B737-001,2025-05-13 17:00:00,2025-05-13 20:00:00,FRA,ORY
663,B737-004,2025-05-13 18:00:00,2025-05-13 19:00:00,OPO,FCO
664,B737-003,2025-05-13 08:00:00,2025-05-13 11:00:00,FCO,FRA
665,A330-001,2025-05-13 13:00:00,2025-05-13 16:00:00,BCN,MAD
666,A320-001,2025-05-14 12:00:00,2025-05-14 14:00:00,BCN,LIS
667,A330-003,2025-05-14 17:00:00,2025-05-14 18:00:00,FCO,LIS
668,B737-003,2025-05-14 06:00:00,2025-05-14 08:00:00,FRA,OPO
669,A330-002,2025-05-14 17:00:00,2025-05-14 18:00:00,OPO,MAD
670,B737-001,2025-05-14 06:00:00,2025-05-14 07:00:00,ORY,BCN
671,B737-003,2025-05-15 18:00:00,2025-05-15 21:00:00,OPO,ORY
672,A320-001,2025-05-15 11:00:00,2025-05-15 13:00:00,LIS,FRA
673,A330-001,2025-05-15 19:00:00,2025-05-15 21:00:00,MAD,FCO
674,B737-002,2025-05-15 07:00:00,2025-05-15 10:00:00,BCN,MAD
675,A320-002,2025-05-15 08:00:00,2025-05-15 11:00:00,LIS,BCN
676,A330-002,2025-05-16 08:00:00,2025-05-16 11:00:00,MAD,BCN
677,A320-002,2025-05-16 19:00:00,2025-05-16 20:00:00,BCN,ORY
678,B737-001,2025-05-16 10:00:00,2025-05-16 12:00:00,BCN,LIS
679,A330-001,2025-05-16 12:00:00,2025-05-16 15:00:00,FCO,BCN
680,B737-002,2025-05-16 19:00:00,2025-05-16 20:00:00,MAD,FRA
